iso_code,amusementparks,nightlife,beaches,camping,exploringnature,eatingout,museums,showstheatresandmusic,wellness,zoos
EST,5.3707550456625,6.960078391591072,6.661055986998948,5.345503646840082,8.205310594220787,7.381606074931589,8.916248362778143,7.452736151641474,1.986523635548949,4.998248228181675
ETH,3.583929787664964,5.7951119104511,3.4916716071160523,0.4886905805659139,8.000608598855553,6.714675694120021,7.020990262423362,4.067766962302365,1.40525494899303,6.396937566227828
FIN,8.362575779056849,8.293577071055621,7.805098936077891,6.430481250251106,8.268234884136824,8.856254159599377,9.322316928906424,7.984381974369543,5.489417467342,7.497483957191296
FRA,8.982979691637373,9.058115982294256,8.363456934591774,6.598291000918677,9.164388339949268,9.870185556575183,9.915817344655649,9.051515330646035,6.264546049923969,9.001218713618595
DEU,9.369459116998216,9.61383296807655,7.498789875834682,6.733175977332211,9.64816888749078,8.92977037855334,9.93891774209878,8.839454190639126,6.397308283527828,9.520695717977038
GHA,4.157326770292414,6.004079459904025,5.387833771558953,0.2596412514536274,6.777655135433871,6.423420081201556,7.293215742544239,4.78214329332236,0.2866305407172653,6.286877876364887
GRC,6.21261239625048,7.209827043096919,8.652132871540909,6.1693306308470515,8.735523905665122,7.350612497130243,9.43522579097203,8.086120797407963,5.886687142169186,6.425918576106594
GTM,5.913335722708909,6.324175569997162,4.1467324495214335,1.540805934351451,8.557443638455224,7.21850181078236,7.668916278260305,6.0366770351398,1.0018576032786874,5.768943957369506
HND,4.890691715743094,5.527831692522754,6.699717001092267,0.3490324776885264,6.6701244761891285,7.071117576998598,6.903777342570769,4.214844233978916,0.3018888850531778,6.708010964267648
HUN,8.015384316373243,8.271273086954928,7.578959266667679,6.465627932696566,9.004837014423686,7.552141906612861,9.413186782160713,8.395403755856208,5.99536603263582,7.82648596673656
ISL,5.138010485993725,5.4954838032327,5.356641851606273,5.9736380756664555,9.312396364950722,6.832770132423872,8.369037932624401,5.759920470514296,3.1530773762541435,4.638916477191177
IND,7.557254123021357,7.555572367519369,8.555990368349203,6.090010250846169,9.422825111521444,9.141293570881087,9.525969804430176,7.253437961879002,6.044276869963185,8.81831397508487
IDN,7.511578535616824,6.923379250086961,9.12894962717003,5.957485607812648,9.226628184947709,7.628081629684155,9.181441963848837,7.207173760935578,6.735634161813137,8.324651122985491
IRN,6.5973616633253185,5.799878975857559,4.47048815354344,1.3119686190984703,8.945644966640474,6.586887282082708,9.20122996221366,6.268407778174334,1.2864368842708125,5.995750037056177
ISR,6.655061255002559,6.918180477230736,7.698955639941423,5.607991842936896,8.172568629453904,7.674207680647847,8.966420787671472,7.126427009234348,1.7821628053030674,6.837835829624203
ITA,8.078473220123144,8.443608322995484,8.323254404504024,6.331350504366969,9.44810453234431,9.03431655428506,9.905332268565337,8.745122632557933,6.284492513782667,8.783762140187177
JAM,4.613336108301222,5.762607842920616,7.302426373655082,0.3678879592676785,7.16653347252214,6.759259515822729,6.84806661210071,4.235817103542055,3.850914932681917,5.040759579084446
JPN,9.137210112516833,8.775983354099793,8.525218109141269,6.195289477165407,9.511557949628884,8.468437883492932,9.704293987684627,8.380428525008046,6.429664979902767,9.318081646347466
JOR,5.301660028289296,5.184143753313835,4.501567734077722,6.216443214743875,7.234274694541931,6.686999273283673,7.999056462316583,4.821842552704176,3.1514882404421902,4.852109368668006
KAZ,4.860076074555306,6.102284471094099,4.415066999447444,2.1229573682691076,8.309112327234939,6.278712707432284,7.874561735094141,7.455060805506552,2.3827991931261927,5.999146027911911
KEN,4.717344307214309,6.395280376808721,6.539486433853201,6.390152364136475,8.244792994630844,7.007129930712904,8.039737573210378,3.9455640417485665,3.2483916265365997,6.826945094204321
KWT,4.928215865983176,4.539143234702752,3.742748082719328,0.6547025084026703,1.4983635050580253,6.075625611835354,6.924290929171535,2.949468581456789,2.2966846543327706,6.084877152188526
LVA,6.336271168034769,6.7089029325350795,5.903064195892412,5.773371995004645,6.84242471509132,7.044933336669258,8.626860754324486,7.598291148352512,2.266636124077022,5.655590903821576
LBN,4.474489098915959,6.326219663405484,4.89666766020316,1.9173813229136367,8.005332069300607,6.595436299739077,7.504165808726356,5.359935703817671,3.0118562708851884,4.636422477751418
LTU,6.389919807764339,6.6869799056961226,5.746085805145017,5.780050221242739,7.475012562014508,7.042746037364876,8.78760945639645,7.326688212760677,5.746801630176895,5.8738236468039915
LUX,5.123922019487817,6.844718466743858,4.691255153451869,6.08533994880387,7.056578137371821,6.716088152060358,8.385204894901259,7.142902267208587,3.0251205125597815,4.298265449200789
MYS,7.450041640193932,7.191294534011512,8.570972741531346,5.792197867218185,7.724511296758851,7.795172240126887,8.641615264450108,7.119481050367531,5.875252928035279,8.152363021014727
MLT,5.196112218628591,6.086812433024198,5.758850617895109,0.9428686162921552,7.226201739495992,6.468178647897795,7.859615677064944,5.10620852139711,2.473121073201495,4.93034364379364
MUS,5.072794863802207,4.9845864642739635,7.248191058785111,0.2434135246132879,7.203134163586875,6.552313804917112,7.014861121469798,3.847047459078,4.151174289667052,3.8229537195705294
MEX,8.19388480817923,7.901735824527719,8.307280029621515,6.090738539981059,9.168493740399104,8.711945047175169,9.721488136283146,8.033057325393248,6.3235507595456975,8.301545204308605
MDA,4.4481171441488945,5.8864532534656195,3.86690602328215,1.7915396928294691,6.417071214794821,6.261498468535864,7.151436405435126,6.863357971670092,2.130939448834434,4.901782591726615
MNG,4.309980895199451,6.004865858633103,0.0,5.954052202608954,7.658088934739829,6.598091223835333,7.738061520993411,5.1837622816346185,0.2177496209382572,0.0
MNE,5.202437626783719,6.104516503760208,7.571887931463993,6.061513889283205,8.45425523570492,7.009046097114156,6.894687371054427,4.964177493168213,3.154626198790622,5.011420518790318
MAR,5.1923814767864265,6.959455195675296,7.0913419639232655,6.150713191650114,7.949244328034282,7.386831008036187,8.432306672852421,5.904161133647884,6.1963662407312885,6.0280645083498525
MMR,5.083125884494326,6.060085988366553,4.723520731413656,0.6929614697162165,7.801586996908033,7.338671524632185,7.530297302053227,6.34322770463185,6.335996836284929,6.2594805977725585
NPL,4.688716102335043,6.272155039499304,4.148775685176248,1.609610147333842,8.845524947437836,7.396335565598875,7.549047449905586,4.599371270546464,6.343851547676546,5.75917403338028
NLD,8.553199983634634,9.077327384354454,6.962956161208549,6.4588634099816025,8.18891617823154,9.201466568079423,9.816020242963194,8.126553492633583,6.061631772417424,8.960427719476844
NIC,4.357878229894834,6.224372729626035,7.282888899567629,1.4293031070566762,8.370975372272921,7.247521981092757,7.043320121722553,4.335078892292869,3.137232120570797,5.611273684437082
NGA,5.759132055418677,6.161435089852541,6.693722694505544,0.2758029145668782,7.657148749916586,6.193374760532926,7.350999997019242,4.138322562077744,5.700983406405587,5.556601593695487
NOR,7.118002411471134,7.252987860664224,7.4947129200891,6.204571679251208,9.26953185644406,8.201557668095248,9.439438920474652,8.07761316937193,5.526856822562119,7.878810582999659
